Participant ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,
4069210,Dutch,male,26-34,15000,Single,No,Yes,No,No,No,No,Non-recognition of the degree,Yes,No,Yes,No,Netherlands,
4163826,Greek,male,26-34,22000,Single,No,Yes,No,No,Yes,Do not know yet,Non-recognition of the degree,Yes,Yes,Yes,Yes,"Netherlands, Cyprus",
4163862,Greek,female,26-34,37000,None of the above,No,No,Yes,Do not know yet,Yes,No,No work permit,Yes,Yes,Do not know yet,No,Netherlands or Germany ,
4163920,Greek,female,18-25,300,Single,No,Yes,Yes,Yes,Yes,No,No work permit,Yes,No,Do not know yet,No,"Netherlands: cheaper, friendlier, high quality education and quality of life ",
4164010,Greek,male,35-44,100000,Single,No,Yes,Yes,Yes,Yes,Yes,No work permit,Yes,Yes,Yes,Yes,Thanks,
4164074,Greek,male,26-34,100000,Single,No,Yes,No,No,No,No,No work permit,No,Do not know yet,Yes,Yes,Do not know yet.,
4164249,greek,female,26-34,35000,Single,No,Yes,Yes,Yes,Yes,No,No work permit,Yes,Yes,No,No,"Ireland
Denmark",
4164279,Greek,male,18-25,240000,Single,No,Yes,Yes,Yes,Yes,No,International Tuition Fees,Yes,No,Yes,No,The Netherlands,
4164283,french,male,35-44,70000,Married,Yes,No,No,No,Yes,Do not know yet,Non-recognition of the degree,No,Yes,Yes,Yes,france,
4164286,Portugish,male,26-34,50000,Single,No,No,Do not know yet,No,No,Yes,International Tuition Fees,Do not know yet,Do not know yet,Do not know yet,Yes,no,
4164360,Italian,male,26-34,35000,Single,No,Yes,No,No,Yes,Do not know yet,Non-recognition of the degree,No,Yes,Yes,Yes,Maybe Italy. But i not mind staying in UK. Actually I support the brexit.,
4164485,Greek,female,26-34,8000,Single,No,No,Yes,Yes,Yes,Yes,Non-recognition of the degree,Yes,Yes,Yes,Yes,Netherlands,
4164694,greek,female,26-34,10000,Single,No,No,Yes,No,Yes,Do not know yet,Non-recognition of the degree,Yes,Do not know yet,Yes,No,italy because of the high level of universities,
4164712,Cypriot,female,26-34,1000,Single,No,Yes,Yes,Yes,Yes,No,No work permit,Yes,Yes,No,No,"Germany, because of good conditions of living and income",
4164727,Greek ,female,18-25,9200,Single,No,No,Yes,Yes,Yes,Yes,Non-recognition of the degree,Yes,Yes,Yes,No,Sweden. Highly respected education. ,
4164731,Greek,female,26-34,12000,None of the above,No,Yes,Yes,Yes,Yes,Yes,International Tuition Fees,Yes,Yes,Do not know yet,Yes,Greece or Netherlands,
4164734,Greek,female,35-44,25000,Married,Yes,No,No,Do not know yet,Yes,Yes,Non-recognition of the degree,Yes,Yes,Yes,Yes,I would like to study in Germany.,
4164767,Romanian ,female,18-25,250,Single,No,No,Yes,Yes,Yes,No,Non-recognition of the degree,Yes,Do not know yet,Yes,Yes,In Bulgaria because is also known as a strong country for studies ,
